productName,country
Everybody Live,Austria
Into For,Austria
Protect That,Austria
From Firm,Austria
Study Really,Austria
Hand Quality,Belgium
Type Which,Belgium
Capital Wear,Belgium
Red Southern,Belgium
Professor We,Belgium

Door Evening,Bulgaria
Wait Ten,Bulgaria
Ever Raise,Bulgaria
Commercial Surface,Bulgaria
Building Receive,Bulgaria

Explain Show,Croatia
Story Into,Croatia
Treatment Full,Croatia
Top Score,Croatia
Case Soon,Croatia

Yes Send,Cyprus
Among Return,Cyprus
Local This,Cyprus
First Collection,Cyprus
To Yeah,Cyprus

Me Table,Czech Republic
Science Indicate,Czech Republic
Name Way,Czech Republic
Minute Movie,Czech Republic
Which Actually,Czech Republic

Party Job,Denmark
Inside Tend,Denmark
Finish Suddenly,Denmark
Rise Study,Denmark
Chance Trip,Denmark

Key Travel,Estonia
Show Strategy,Estonia
Over Especially,Estonia
Garden Country,Estonia
Decision View,Estonia

Water Type,Finland
By Ask,Finland
Position Late,Finland
Matter Feel,Finland
Almost Seem,Finland

Ground Movement,France
Safe During,France
Image Road,France
Meet Bit,France
Against Thank,France

Network True,Germany
As Person,Germany
Way Health,Germany
Response Value,Germany
We Doctor,Germany

Seven Meeting,Greece
Whose Though,Greece
Long Behind,Greece
Student Choose,Greece
Condition No,Greece

East Write,Hungary
Attorney Style,Hungary
Organization Model,Hungary
Start Hard,Hungary
Force Nothing,Hungary

Policy Language,Italy
Here Indicate,Italy
Along Culture,Italy
Authority All,Italy
Stock Common,Italy

Coach Cover,Latvia
Series Too,Latvia
Risk Evening,Latvia
Pass Free,Latvia
Song Growth,Latvia

Home Nation,Lithuania
Fight Discuss,Lithuania
Until Activity,Lithuania
Respond Indicate,Lithuania
Different Beat,Lithuania

Machine Professor,Malta
Serve Image,Malta
Democrat You,Malta
Wear Local,Malta
Chair Least,Malta

Ago Beat,Netherlands
Town Rock,Netherlands
Attention Allow,Netherlands
Very Grow,Netherlands
Letter Political,Netherlands

Nation Speech,Poland
Explain Newspaper,Poland
Join Store,Poland
Community Development,Poland
Talk Mention,Poland

Inside Behind,Portugal
Sure Focus,Portugal
Magazine Thought,Portugal
Expert Stock,Portugal
Time Final,Portugal

General High,Romania
Could Deep,Romania
Reach Young,Romania
Fund Present,Romania
Respond Ask,Romania

Personal System,Slovakia (Slovak Republic)
Assume Guess,Slovakia (Slovak Republic)
One Push,Slovakia (Slovak Republic)
When Hotel,Slovakia (Slovak Republic)
Computer New,Slovakia (Slovak Republic)

Interesting Again,Slovenia
Both Its,Slovenia
Former Factor,Slovenia
First Game,Slovenia
Family Together,Slovenia

Property Democrat,Spain
Employee Player,Spain
Opportunity School,Spain
Structure Policy,Spain
Receive Much,Spain

Begin Them,Sweden
Suddenly Even,Sweden
Long Scientist,Sweden
Animal Send,Sweden
Measure Change,Sweden
